cycle        Classifier 1        Classifier 2        Classifier 3        Classifier4
0        0.30728709394205445        0.3160667251975417        0.19490781387181738        0.07638279192273925
500        0.30728709394205445        0.3160667251975417        0.19490781387181738        0.07638279192273925
1000        0.3090430201931519        0.31782265144863914        0.19490781387181738        0.07638279192273925
1500        0.3160667251975417        0.2976294995610184        0.38191395961369623        0.07638279192273925
2000        0.5768217734855136        0.5557506584723442        0.45829675153643545        0.07638279192273925
2500        0.6277436347673397        0.630377524143986        0.5092186128182616        0.07638279192273925
3000        0.6374012291483757        0.6374012291483757        0.5443371378402108        0.11676909569798069
3500        0.6382791922739245        0.6391571553994733        0.5373134328358209        0.12203687445127305
4000        0.6233538191395961        0.6312554872695347        0.5566286215978928        0.12554872695346794
4500        0.6698858647936786        0.6575943810359964        0.6014047410008779        0.14837576821773485
5000        0.6874451273046532        0.6883230904302019        0.6312554872695347        0.1527655838454785
5500        0.733099209833187        0.7216856892010536        0.6812993854258121        0.1887620719929763
6000        0.7945566286215979        0.7980684811237928        0.7374890254609306        0.30816505706760317
6500        0.8323090430201932        0.8340649692712906        0.7919227392449517        0.4697102721685689
7000        0.8718173836698858        0.8674275680421423        0.835820895522388        0.6523266022827041
7500        0.8762071992976295        0.8911325724319579        0.874451273046532        0.7629499561018437
8000        0.9043020193151887        0.9025460930640913        0.8981562774363476        0.835820895522388
8500        0.913081650570676        0.8753292361720808        0.8832309043020193        0.8999122036874452
9000        0.9104477611940298        0.8893766461808604        0.8823529411764706        0.9367866549604916
9500        0.8964003511852502        0.874451273046532        0.9043020193151887        0.9552238805970149
10000        0.8911325724319579        0.8604038630377524        0.9174714661984197        0.961369622475856
10500        0.8735733099209834        0.8533801580333626        0.9183494293239683        0.971027216856892
11000        0.8797190517998245        0.8244073748902546        0.9148375768217735        0.9762949956101844
11500        0.8753292361720808        0.8156277436347673        0.9086918349429324        0.9798068481123793
12000        0.8911325724319579        0.7980684811237928        0.9201053555750659        0.9868305531167691
12500        0.8990342405618964        0.800702370500439        0.9192273924495171        0.9894644424934153
13000        0.8718173836698858        0.7866549604916594        0.8946444249341527        0.9938542581211589
13500        0.8674275680421423        0.7769973661106233        0.887620719929763        0.9956101843722563
14000        0.8779631255487269        0.7673397717295873        0.8849868305531168        0.9964881474978051
14500        0.8788410886742757        0.7585601404741001        0.887620719929763        0.9964881474978051
15000        0.8735733099209834        0.7471466198419666        0.8920105355575065        0.9964881474978051
